,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
668,1214011,WHS3_57,COUNTRY,ERI,AFR,YEAR,Africa,,,2020,,,,,,,20,20.0,,,,2024-07-12T15:55:34.113+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
669,1217389,WHS3_57,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2016,,,,,,,1,1.0,,,,2024-07-12T15:55:34.113+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
670,1218544,WHS3_57,COUNTRY,ATG,AMR,YEAR,Americas,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
671,1218844,WHS3_57,COUNTRY,POL,EUR,YEAR,Europe,,,2010,,,,,,,4196,4196.0,,,,2024-07-12T15:55:34.113+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
672,1219779,WHS3_57,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2008,,,,,,,181,181.0,,,,2024-07-12T15:55:34.113+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
673,1230434,WHS3_57,COUNTRY,MNE,EUR,YEAR,Europe,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:55:34.113+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
674,1230661,WHS3_57,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2007,,,,,,,51,51.0,,,,2024-07-12T15:55:34.113+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
675,1234730,WHS3_57,COUNTRY,MAC,,YEAR,,,,1999,,,,,,,13,13.0,,,,2024-07-12T15:55:34.113+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
676,1235597,WHS3_57,COUNTRY,TZA,AFR,YEAR,Africa,,,2004,,,,,,,234,234.0,,,,2024-07-12T15:55:34.113+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
677,1237080,WHS3_57,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,2019,,,,,,,7,7.0,,,,2024-07-12T15:55:34.113+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
