,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3636,3002174,WHS3_41,COUNTRY,MLI,AFR,YEAR,Africa,,,1996,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3637,3002225,WHS3_41,COUNTRY,VEN,AMR,YEAR,Americas,,,2005,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3638,3005981,WHS3_41,COUNTRY,RUS,EUR,YEAR,Europe,,,1994,,,,,,,39 703,39703.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
3639,3006012,WHS3_41,COUNTRY,SMR,EUR,YEAR,Europe,,,2005,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3640,3008148,WHS3_41,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,1994,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
3641,3008614,WHS3_41,COUNTRY,ZWE,AFR,YEAR,Africa,,,1987,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
3642,3013654,WHS3_41,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2005,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
3643,3013993,WHS3_41,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,1998,,,,,,,3,3.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
3644,3015835,WHS3_41,COUNTRY,MUS,AFR,YEAR,Africa,,,1996,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
3645,3016396,WHS3_41,COUNTRY,LCA,AMR,YEAR,Americas,,,2019,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3646,3017429,WHS3_41,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,1981,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
3647,3017565,WHS3_41,COUNTRY,ISR,EUR,YEAR,Europe,,,1977,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
3648,3018475,WHS3_41,COUNTRY,MWI,AFR,YEAR,Africa,,,2014,,,,,,,1,1.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3649,3019981,WHS3_41,COUNTRY,TKM,EUR,YEAR,Europe,,,2021,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3650,3020274,WHS3_41,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,1998,,,,,,,83,83.0,,,,2024-07-12T15:46:58.707+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
3651,3020351,WHS3_41,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2013,,,,,,,6,6.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3652,3021146,WHS3_41,WORLDBANKINCOMEGROUP,WB_HI,,YEAR,,,,2022,,,,,,,401,401.0,,,,2024-07-12T15:46:58.707+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3653,3022531,WHS3_41,COUNTRY,MKD,EUR,YEAR,Europe,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
3654,3023504,WHS3_41,COUNTRY,PAN,AMR,YEAR,Americas,,,1988,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
3655,3023709,WHS3_41,COUNTRY,ISL,EUR,YEAR,Europe,,,1974,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
