,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1920,6971325,CHOLERA_0000000001,COUNTRY,UKR,YEAR,EUR,Europe,,,1991,,,,,,,75,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
1921,6972641,CHOLERA_0000000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,,,1997,,,,,,,155,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
1922,6972985,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,1979,,,,,,,365,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
1923,6974299,CHOLERA_0000000001,COUNTRY,CAN,YEAR,AMR,Americas,,,1991,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
1924,6974576,CHOLERA_0000000001,COUNTRY,UGA,YEAR,AFR,Africa,,,1979,,,,,,,940,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
1925,6974668,CHOLERA_0000000001,COUNTRY,BDI,YEAR,AFR,Africa,,,2010,,,,,,,333,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1926,7014285,CHOLERA_0000000001,COUNTRY,DZA,YEAR,AFR,Africa,,,2005,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1927,7014689,CHOLERA_0000000001,COUNTRY,ITA,YEAR,EUR,Europe,,,1973,,,,,,,278,,,,,2013-06-11T14:04:28+02:00,1973,1973-01-01T00:00:00+01:00,1973-12-31T00:00:00+01:00
1928,7016897,CHOLERA_0000000001,COUNTRY,RWA,YEAR,AFR,Africa,,,1999,,,,,,,327,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
1929,7021807,CHOLERA_0000000001,COUNTRY,DZA,YEAR,AFR,Africa,,,1978,,,,,,,220,,,,,2013-06-11T14:04:28+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
1930,7022479,CHOLERA_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,,,2011,,,,,,,1 ,,,,1 of 1  reported cases are imported.,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1931,7022712,CHOLERA_0000000001,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,1968,,,,,,,34,,,,,2013-06-11T14:04:28+02:00,1968,1968-01-01T00:00:00+01:00,1968-12-31T00:00:00+01:00
1932,7027352,CHOLERA_0000000001,COUNTRY,GTM,YEAR,AMR,Americas,,,2001,,,,,,,13,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
