,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1479,1891748,WHS3_49,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,1981,,,,,,,,1,1.0,,,,2019-09-11T08:28:30+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
1480,1982906,WHS3_49,COUNTRY,HTI,YEAR,AMR,Americas,,2016,,,,,,,,0,0.0,,,,2019-09-11T08:28:20+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1481,1984659,WHS3_49,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,2004,,,,,,,,0,0.0,,,,2019-09-11T08:29:13+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1482,1984862,WHS3_49,COUNTRY,ARM,YEAR,EUR,Europe,,2011,,,,,,,,0,0.0,,,,2019-09-11T08:27:36+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1483,1892344,WHS3_49,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,,1992,,,,,,,,0,0.0,,,,2019-09-11T08:28:58+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1484,1985750,WHS3_49,COUNTRY,CAF,YEAR,AFR,Africa,,1983,,,,,,,,70,70.0,,,,2019-09-11T08:27:54+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
1485,1924590,WHS3_49,COUNTRY,GEO,YEAR,EUR,Europe,,2003,,,,,,,,0,0.0,,,,2019-09-11T08:28:14+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1486,1986564,WHS3_49,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1996,,,,,,,,0,0.0,,,,2019-09-11T08:28:29+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
1487,1986946,WHS3_49,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,1984,,,,,,,,595,595.0,,,,2019-09-11T08:28:59+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1488,1987266,WHS3_49,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,2009,,,,,,,,0,0.0,,,,2019-09-11T08:28:25+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1489,1988294,WHS3_49,COUNTRY,RUS,YEAR,EUR,Europe,,2016,,,,,,,,0,0.0,,,,2019-09-11T08:29:08+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1490,1988858,WHS3_49,COUNTRY,FJI,YEAR,WPR,Western Pacific,,1990,,,,,,,,0,0.0,,,,2019-09-11T08:28:11+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
1491,1992766,WHS3_49,COUNTRY,HTI,YEAR,AMR,Americas,,1986,,,,,,,,6,6.0,,,,2019-09-11T08:28:20+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
1492,1893550,WHS3_49,COUNTRY,SLE,YEAR,AFR,Africa,,2004,,,,,,,,0,0.0,,,,2019-09-11T08:29:16+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1493,1897569,WHS3_49,COUNTRY,SWZ,YEAR,AFR,Africa,,2013,,,,,,,,0,0.0,,,,2019-09-11T08:28:10+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1494,1898693,WHS3_49,COUNTRY,GRC,YEAR,EUR,Europe,,1987,,,,,,,,0,0.0,,,,2019-09-11T08:28:16+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
1495,1998370,WHS3_49,COUNTRY,ZAF,YEAR,AFR,Africa,,2012,,,,,,,,0,0.0,,,,2019-09-11T08:29:20+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1496,1998514,WHS3_49,COUNTRY,NGA,YEAR,AFR,Africa,,1981,,,,,,,,335,335.0,,,,2019-09-11T08:28:56+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
1497,1998638,WHS3_49,COUNTRY,BHS,YEAR,AMR,Americas,,1984,,,,,,,,0,0.0,,,,2019-09-11T08:27:39+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1498,1902761,WHS3_49,COUNTRY,BFA,YEAR,AFR,Africa,,1992,,,,,,,,4,4.0,,,,2019-09-11T08:27:49+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
1499,2001697,WHS3_49,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2001,,,,,,,,0,0.0,,,,2019-09-11T08:29:19+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1500,2006605,WHS3_49,COUNTRY,PLW,YEAR,WPR,Western Pacific,,2008,,,,,,,,0,0.0,,,,2019-09-11T08:28:59+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1501,2007399,WHS3_49,COUNTRY,KNA,YEAR,AMR,Americas,,2002,,,,,,,,0,0.0,,,,2019-09-11T08:29:09+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1502,1959969,WHS3_49,COUNTRY,BRB,YEAR,AMR,Americas,,1987,,,,,,,,0,0.0,,,,2019-09-11T08:27:41+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
1503,2013063,WHS3_49,COUNTRY,VEN,YEAR,AMR,Americas,,2013,,,,,,,,0,0.0,,,,2019-09-11T08:29:37+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1504,2013980,WHS3_49,COUNTRY,BFA,YEAR,AFR,Africa,,2016,,,,,,,,0,0.0,,,,2019-09-11T08:27:48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1505,1960766,WHS3_49,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,2010,,,,,,,,0,0.0,,,,2019-09-11T08:28:40+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1506,1962270,WHS3_49,COUNTRY,BGR,YEAR,EUR,Europe,,2014,,,,,,,,0,0.0,,,,2019-09-11T08:27:48+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1507,2016902,WHS3_49,COUNTRY,KEN,YEAR,AFR,Africa,,1985,,,,,,,,368,368.0,,,,2019-09-11T08:28:31+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
1508,2022233,WHS3_49,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,2010,,,,,,,,0,0.0,,,,2019-09-11T08:28:24+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1509,1964849,WHS3_49,COUNTRY,ISR,YEAR,EUR,Europe,,2001,,,,,,,,0,0.0,,,,2019-09-11T08:28:27+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
1510,2023607,WHS3_49,REGION,EMR,YEAR,,,,1989,,,,,,,,2307,2307.0,,,,2019-09-11T08:29:42+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
1511,2025988,WHS3_49,COUNTRY,AUT,YEAR,EUR,Europe,,2009,,,,,,,,0,0.0,,,,2019-09-11T08:27:38+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
1512,1971126,WHS3_49,COUNTRY,ROU,YEAR,EUR,Europe,,2015,,,,,,,,0,0.0,,,,2019-09-11T08:29:07+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1513,1973899,WHS3_49,COUNTRY,GUY,YEAR,AMR,Americas,,2000,,,,,,,,0,0.0,,,,2019-09-11T08:28:19+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
1514,2028883,WHS3_49,COUNTRY,DOM,YEAR,AMR,Americas,,1984,,,,,,,,0,0.0,,,,2019-09-11T08:28:06+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
1515,1974021,WHS3_49,COUNTRY,BWA,YEAR,AFR,Africa,,1985,,,,,,,,3,3.0,,,,2019-09-11T08:27:46+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
1516,1974788,WHS3_49,COUNTRY,PRY,YEAR,AMR,Americas,,1991,,,,,,,,0,0.0,,,,2019-09-11T08:29:02+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
1517,2037209,WHS3_49,COUNTRY,BIH,YEAR,EUR,Europe,,2005,,,,,,,,0,0.0,,,,2019-09-11T08:27:45+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1518,1981451,WHS3_49,COUNTRY,CZE,YEAR,EUR,Europe,,2016,,,,,,,,0,0.0,,,,2019-09-11T08:28:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1519,2039599,WHS3_49,COUNTRY,GUY,YEAR,AMR,Americas,,1990,,,,,,,,0,0.0,,,,2019-09-11T08:28:20+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
1520,1982554,WHS3_49,COUNTRY,NGA,YEAR,AFR,Africa,,1993,,,,,,,,1083,1083.0,,,,2019-09-11T08:28:56+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
1521,1985143,WHS3_49,COUNTRY,KAZ,YEAR,EUR,Europe,,2003,,,,,,,,0,0.0,,,,2019-09-11T08:28:30+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1522,2042752,WHS3_49,COUNTRY,GMB,YEAR,AFR,Africa,,2004,,,,,,,,0,0.0,,,,2019-09-11T08:28:14+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1523,2043267,WHS3_49,COUNTRY,ZMB,YEAR,AFR,Africa,,1993,,,,,,,,370,370.0,,,,2019-09-11T08:29:40+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
1524,2048027,WHS3_49,COUNTRY,BLZ,YEAR,AMR,Americas,,1981,,,,,,,,0,0.0,,,,2019-09-11T08:27:43+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
1525,2049511,WHS3_49,COUNTRY,GNB,YEAR,AFR,Africa,,2007,,,,,,,,0,0.0,,,,2019-09-11T08:28:19+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1526,1985998,WHS3_49,COUNTRY,TUR,YEAR,EUR,Europe,,2002,,,,,,,,0,0.0,,,,2019-09-11T08:29:30+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1527,2056119,WHS3_49,COUNTRY,DEU,YEAR,EUR,Europe,,1980,,,,,,,,7,7.0,,,,2019-09-11T08:28:15+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
1528,1993740,WHS3_49,COUNTRY,PER,YEAR,AMR,Americas,,2003,,,,,,,,0,0.0,,,,2019-09-11T08:29:02+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1529,1925504,WHS3_49,COUNTRY,GNQ,YEAR,AFR,Africa,,2005,,,,,,,,0,0.0,,,,2019-09-11T08:28:08+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1530,2060455,WHS3_49,COUNTRY,IRL,YEAR,EUR,Europe,,2011,,,,,,,,0,0.0,,,,2019-09-11T08:28:26+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1531,1927197,WHS3_49,COUNTRY,KGZ,YEAR,EUR,Europe,,2002,,,,,,,,0,0.0,,,,2019-09-11T08:28:33+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1532,2064413,WHS3_49,COUNTRY,DMA,YEAR,AMR,Americas,,2003,,,,,,,,0,0.0,,,,2019-09-11T08:28:05+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
