,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1943,6324403,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,YEAR,Africa,,2021,,,,,,,,77 287,77287.0,,,,2023-05-10T14:48:03+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
1944,6328898,MALARIA_CONF_CASES,COUNTRY,GHA,AFR,YEAR,Africa,,2004,,,,,,,,475 441,475441.0,,,,2023-05-10T14:48:03+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1945,6329765,MALARIA_CONF_CASES,COUNTRY,GTM,AMR,YEAR,Americas,,2013,,,,,,,,6 214,6214.0,,,,2023-05-10T14:47:58+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1946,6335729,MALARIA_CONF_CASES,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,2012,,,,,,,,82,82.0,,,,2023-05-10T14:47:58+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1947,6336563,MALARIA_CONF_CASES,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,2012,,,,,,,,3 406,3406.0,,,,2023-05-10T14:48:21+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1948,6348315,MALARIA_CONF_CASES,COUNTRY,TCD,AFR,YEAR,Africa,,2008,,,,,,,,47 757,47757.0,,,,2023-05-10T14:48:24+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1949,6353586,MALARIA_CONF_CASES,COUNTRY,PER,AMR,YEAR,Americas,,2004,,,,,,,,93 581,93581.0,,,,2023-05-10T14:48:09+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
1950,6361970,MALARIA_CONF_CASES,COUNTRY,GUF,AMR,YEAR,Americas,,2003,,,,,,,,3 839,3839.0,,,,2023-05-10T14:48:08+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1951,6364317,MALARIA_CONF_CASES,COUNTRY,BLZ,AMR,YEAR,Americas,,2011,,,,,,,,79,79.0,,,,2023-05-10T14:48:12+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1952,6366127,MALARIA_CONF_CASES,COUNTRY,CIV,AFR,YEAR,Africa,,2013,,,,,,,,2 524 326,2524326.0,,,,2023-05-10T14:48:09+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1953,6372261,MALARIA_CONF_CASES,COUNTRY,LAO,WPR,YEAR,Western Pacific,,2006,,,,,,,,18 382,18382.0,,,,2023-05-10T14:48:00+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1954,6376696,MALARIA_CONF_CASES,COUNTRY,BLZ,AMR,YEAR,Americas,,2013,,,,,,,,26,26.0,,,,2023-05-10T14:48:06+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1955,6377031,MALARIA_CONF_CASES,COUNTRY,ARM,EUR,YEAR,Europe,,2010,,,,,,,,1,1.0,,,,2023-05-10T14:48:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1956,6377315,MALARIA_CONF_CASES,COUNTRY,BGD,SEAR,YEAR,South-East Asia,,2013,,,,,,,,26 891,26891.0,,,,2023-05-10T14:48:09+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1957,6382278,MALARIA_CONF_CASES,COUNTRY,CRI,AMR,YEAR,Americas,,2006,,,,,,,,2 903,2903.0,,,,2023-05-10T14:48:19+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
