,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6076,1853351,WHS3_43,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,2009,,,,,,,,8,8.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6077,1853448,WHS3_43,COUNTRY,EST,YEAR,EUR,Europe,,2021,,,,,,,,13,13.0,,,,2024-07-12T15:46:58.707+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
6078,1860082,WHS3_43,COUNTRY,HKG,YEAR,,,,1990,,,,,,,,8,8.0,,,,2024-07-12T15:46:58.707+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
6079,1860651,WHS3_43,COUNTRY,LCA,YEAR,AMR,Americas,,2023,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
6080,1861092,WHS3_43,COUNTRY,SYC,YEAR,AFR,Africa,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6081,1873181,WHS3_43,COUNTRY,KAZ,YEAR,EUR,Europe,,2015,,,,,,,,74,74.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6082,1873195,WHS3_43,COUNTRY,GTM,YEAR,AMR,Americas,,1976,,,,,,,,915,915.0,,,,2024-07-12T15:46:58.707+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
6083,1874261,WHS3_43,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,2004,,,,,,,,192,192.0,,,,2024-07-12T15:46:58.707+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
6084,1874667,WHS3_43,COUNTRY,DOM,YEAR,AMR,Americas,,2010,,,,,,,,37,37.0,,,,2024-07-12T15:46:58.707+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6085,1879613,WHS3_43,COUNTRY,PRT,YEAR,EUR,Europe,,2016,,,,,,,,563,563.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6086,1880352,WHS3_43,COUNTRY,URY,YEAR,AMR,Americas,,1974,,,,,,,,561,561.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6087,1880911,WHS3_43,COUNTRY,AUT,YEAR,EUR,Europe,,1989,,,,,,,,190,190.0,,,,2024-07-12T15:46:58.707+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
6088,1886995,WHS3_43,COUNTRY,CRI,YEAR,AMR,Americas,,1984,,,,,,,,172,172.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
6089,1887988,WHS3_43,COUNTRY,ERI,YEAR,AFR,Africa,,2015,,,,,,,,31,31.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6090,1892946,WHS3_43,COUNTRY,HRV,YEAR,EUR,Europe,,2015,,,,,,,,57,57.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6091,1893043,WHS3_43,REGION,AMR,YEAR,,,,1992,,,,,,,,19 258,19258.0,,,,2024-07-12T15:46:58.707+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6092,1893448,WHS3_43,COUNTRY,AGO,YEAR,AFR,Africa,,2016,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6093,1893567,WHS3_43,COUNTRY,ATG,YEAR,AMR,Americas,,2015,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6094,1894039,WHS3_43,COUNTRY,LBR,YEAR,AFR,Africa,,2009,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
