,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2576,5704887,WHS3_45,COUNTRY,PRT,YEAR,EUR,Europe,,,2013,,,,,,,No data,,,,,2019-10-11T14:09:21+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2577,5705910,WHS3_45,COUNTRY,CHL,YEAR,AMR,Americas,,,2014,,,,,,,0,0.0,,,,2019-10-11T13:32:12+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2578,5709300,WHS3_45,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,,,2016,,,,,,,624,624.0,,,,2019-10-11T13:32:25+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2579,5709820,WHS3_45,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,2019,,,,,,,2122,2122.0,,,,2020-09-04T12:29:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2580,5710230,WHS3_45,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,,2020,,,,,,,2,2.0,,,,2021-09-13T09:45:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2581,5710353,WHS3_45,COUNTRY,LUX,YEAR,EUR,Europe,,,2005,,,,,,,No data,,,,,2019-10-11T14:09:12+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2582,5718564,WHS3_45,COUNTRY,SUR,YEAR,AMR,Americas,,,2020,,,,,,,12,12.0,,,,2021-09-13T09:45:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2583,5718599,WHS3_45,COUNTRY,SLE,YEAR,AFR,Africa,,,2010,,,,,,,382,382.0,,,,2019-10-11T14:15:10+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2584,5724816,WHS3_45,COUNTRY,MDG,YEAR,AFR,Africa,,,2012,,,,,,,1474,1474.0,,,,2019-10-11T14:09:31+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2585,5726151,WHS3_45,COUNTRY,MCO,YEAR,EUR,Europe,,,2016,,,,,,,0,0.0,,,,2019-10-11T13:32:22+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2586,5732169,WHS3_45,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,,,2005,,,,,,,0,0.0,,,,2019-10-11T14:14:56+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2587,5734135,WHS3_45,COUNTRY,SYC,YEAR,AFR,Africa,,,2009,,,,,,,No data,,,,,2019-10-11T14:15:02+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2588,5734363,WHS3_45,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2008,,,,,,,530,530.0,,,,2019-10-11T14:09:15+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2589,5735941,WHS3_45,COUNTRY,CIV,YEAR,AFR,Africa,,,2021,,,,,,,514,514.0,,,,2022-09-06T14:22:14+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2590,5736560,WHS3_45,COUNTRY,IRL,YEAR,EUR,Europe,,,2019,,,,,,,No data,,,,,2020-09-04T12:29:31+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2591,5737588,WHS3_45,COUNTRY,PRY,YEAR,AMR,Americas,,,2007,,,,,,,403,403.0,,,,2019-10-11T14:09:25+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2592,5740157,WHS3_45,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,2008,,,,,,,23,23.0,,,,2019-10-11T14:15:00+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2593,5741419,WHS3_45,COUNTRY,PRK,YEAR,SEAR,South-East Asia,,,2016,,,,,,,No data,,,,,2019-10-11T13:32:26+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2594,5742943,WHS3_45,COUNTRY,CMR,YEAR,AFR,Africa,,,2020,,,,,,,178,178.0,,,,2021-09-13T09:45:19+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2595,5743350,WHS3_45,COUNTRY,GHA,YEAR,AFR,Africa,,,2021,,,,,,,263,263.0,,,,2022-09-06T14:22:13+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2596,5744998,WHS3_45,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,2013,,,,,,,No data,,,,,2019-10-11T14:09:10+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2597,5747241,WHS3_45,COUNTRY,BRB,YEAR,AMR,Americas,,,2009,,,,,,,0,0.0,,,,2019-10-11T14:15:08+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2598,5748629,WHS3_45,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,2010,,,,,,,3,3.0,,,,2019-10-11T14:09:06+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2599,5749787,WHS3_45,COUNTRY,NER,YEAR,AFR,Africa,,,2011,,,,,,,364,364.0,,,,2019-10-11T14:09:30+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2600,5750232,WHS3_45,COUNTRY,ALB,YEAR,EUR,Europe,,,2010,,,,,,,0,0.0,,,,2019-10-11T14:09:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2601,5757831,WHS3_45,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2009,,,,,,,1597,1597.0,,,,2019-10-11T14:15:02+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2602,5763291,WHS3_45,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,,2006,,,,,,,16,16.0,,,,2019-10-11T14:14:58+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2603,5765537,WHS3_45,COUNTRY,RUS,YEAR,EUR,Europe,,,2019,,,,,,,No data,,,,,2020-09-04T12:29:32+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2604,5767013,WHS3_45,COUNTRY,UGA,YEAR,AFR,Africa,,,2017,,,,,,,211,211.0,,,,2018-12-10T09:08:09+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
