,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8297,7141007,WHS3_46,COUNTRY,GAB,YEAR,AFR,Africa,,,1982,,,,,,,290,290.0,,,,2024-07-12T15:49:00.303+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
8298,7141037,WHS3_46,WORLDBANKINCOMEGROUP,WB_HI,YEAR,,,,,2007,,,,,,,204,204.0,,,,2024-07-12T15:49:00.303+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
8299,7143450,WHS3_46,COUNTRY,AZE,YEAR,EUR,Europe,,,2003,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
8300,7143818,WHS3_46,COUNTRY,NRU,YEAR,WPR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8301,7144445,WHS3_46,COUNTRY,HTI,YEAR,AMR,Americas,,,1987,,,,,,,407,407.0,,,,2024-07-12T15:49:00.303+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
8302,7147565,WHS3_46,COUNTRY,SRB,YEAR,EUR,Europe,,,2006,,,,,,,7,7.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8303,7148310,WHS3_46,COUNTRY,BGR,YEAR,EUR,Europe,,,2006,,,,,,,4,4.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8304,7149578,WHS3_46,COUNTRY,CUB,YEAR,AMR,Americas,,,2010,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
8305,7151220,WHS3_46,COUNTRY,KIR,YEAR,WPR,Western Pacific,,,1989,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
8306,7151329,WHS3_46,COUNTRY,CAF,YEAR,AFR,Africa,,,2009,,,,,,,15,15.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
8307,7151896,WHS3_46,COUNTRY,MWI,YEAR,AFR,Africa,,,1983,,,,,,,405,405.0,,,,2024-07-12T15:49:00.303+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
8308,7152345,WHS3_46,COUNTRY,CAF,YEAR,AFR,Africa,,,1982,,,,,,,137,137.0,,,,2024-07-12T15:49:00.303+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
8309,7152371,WHS3_46,COUNTRY,AGO,YEAR,AFR,Africa,,,1987,,,,,,,778,778.0,,,,2024-07-12T15:49:00.303+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
8310,7152757,WHS3_46,COUNTRY,DOM,YEAR,AMR,Americas,,,2012,,,,,,,40,40.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
8311,7154578,WHS3_46,COUNTRY,VEN,YEAR,AMR,Americas,,,2012,,,,,,,14,14.0,,,,2024-07-12T15:49:00.303+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
8312,7154737,WHS3_46,COUNTRY,AND,YEAR,EUR,Europe,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8313,7154859,WHS3_46,COUNTRY,LVA,YEAR,EUR,Europe,,,1995,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
8314,7154996,WHS3_46,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,1988,,,,,,,62,62.0,,,,2024-07-12T15:49:00.303+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
8315,7155165,WHS3_46,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,,1981,,,,,,,7,7.0,,,,2024-07-12T15:49:00.303+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
8316,7155333,WHS3_46,COUNTRY,SLV,YEAR,AMR,Americas,,,1982,,,,,,,92,92.0,,,,2024-07-12T15:49:00.303+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
8317,7155370,WHS3_46,COUNTRY,GMB,YEAR,AFR,Africa,,,2005,,,,,,,6,6.0,,,,2024-07-12T15:49:00.303+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
8318,7155677,WHS3_46,COUNTRY,PLW,YEAR,WPR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
8319,7156056,WHS3_46,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,,,1996,,,,,,,78,78.0,,,,2024-07-12T15:49:00.303+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
8320,7156594,WHS3_46,COUNTRY,GHA,YEAR,AFR,Africa,,,2019,,,,,,,20,20.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
8321,7157154,WHS3_46,COUNTRY,PRT,YEAR,EUR,Europe,,,2014,,,,,,,2,2.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8322,7157799,WHS3_46,COUNTRY,MUS,YEAR,AFR,Africa,,,1980,,,,,,,5,5.0,,,,2024-07-12T15:49:00.303+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
8323,7159477,WHS3_46,COUNTRY,GUM,YEAR,WPR,Western Pacific,,,1982,,,,,,,1,1.0,,,,2024-07-12T15:49:00.303+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
8324,7160274,WHS3_46,COUNTRY,MDG,YEAR,AFR,Africa,,,2005,,,,,,,63,63.0,,,,2024-07-12T15:49:00.303+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
8325,7162467,WHS3_46,COUNTRY,PYF,YEAR,WPR,Western Pacific,,,2001,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
