,Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2864,2232014,WHS3_62,COUNTRY,SLE,YEAR,AFR,Africa,,,2018,,,,,,,344,344.0,,,,2024-07-12T16:01:16.317+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2865,2232403,WHS3_62,COUNTRY,NGA,YEAR,AFR,Africa,,,1982,,,,,,,139 785,139785.0,,,,2024-07-12T16:01:16.317+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
2866,2235437,WHS3_62,COUNTRY,GAB,YEAR,AFR,Africa,,,2008,,,,,,,3,3.0,,,,2024-07-12T16:01:16.317+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2867,2235540,WHS3_62,COUNTRY,ETH,YEAR,AFR,Africa,,,2014,,,,,,,12 739,12739.0,,,,2024-07-12T16:01:16.317+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2868,2236476,WHS3_62,COUNTRY,BGR,YEAR,EUR,Europe,,,2002,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2869,2237149,WHS3_62,COUNTRY,MWI,YEAR,AFR,Africa,,,1995,,,,,,,4218,4218.0,,,,2024-07-12T16:01:16.317+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2870,2238587,WHS3_62,WORLDBANKINCOMEGROUP,WB_LI,YEAR,,,,,2008,,,,,,,22 469,22469.0,,,,2024-07-12T16:01:16.317+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2871,2239635,WHS3_62,COUNTRY,SYC,YEAR,AFR,Africa,,,1980,,,,,,,3,3.0,,,,2024-07-12T16:01:16.317+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
2872,2240527,WHS3_62,COUNTRY,MNP,YEAR,WPR,Western Pacific,,,2019,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2873,2243700,WHS3_62,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,,1991,,,,,,,1148,1148.0,,,,2024-07-12T16:01:16.317+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
2874,2245385,WHS3_62,COUNTRY,WSM,YEAR,WPR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2024-07-12T16:01:16.317+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2875,2246492,WHS3_62,COUNTRY,ROU,YEAR,EUR,Europe,,,1988,,,,,,,1810,1810.0,,,,2024-07-12T16:01:16.317+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
2876,2246937,WHS3_62,COUNTRY,ZMB,YEAR,AFR,Africa,,,2018,,,,,,,11,11.0,,,,2024-07-12T16:01:16.317+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2877,2247256,WHS3_62,COUNTRY,TON,YEAR,WPR,Western Pacific,,,1999,,,,,,,6,6.0,,,,2024-07-12T16:01:16.317+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2878,2248400,WHS3_62,COUNTRY,TGO,YEAR,AFR,Africa,,,2007,,,,,,,8,8.0,,,,2024-07-12T16:01:16.317+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2879,2248435,WHS3_62,COUNTRY,CRI,YEAR,AMR,Americas,,,1987,,,,,,,4004,4004.0,,,,2024-07-12T16:01:16.317+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
2880,2248624,WHS3_62,COUNTRY,GAB,YEAR,AFR,Africa,,,1975,,,,,,,10 967,10967.0,,,,2024-07-12T16:01:16.317+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
2881,2249345,WHS3_62,COUNTRY,NAM,YEAR,AFR,Africa,,,1995,,,,,,,1723,1723.0,,,,2024-07-12T16:01:16.317+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2882,2249699,WHS3_62,COUNTRY,DNK,YEAR,EUR,Europe,,,1997,,,,,,,61,61.0,,,,2024-07-12T16:01:16.317+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
2883,2250809,WHS3_62,COUNTRY,PNG,YEAR,WPR,Western Pacific,,,2015,,,,,,,38,38.0,,,,2024-07-12T16:01:16.317+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2884,2251052,WHS3_62,COUNTRY,LSO,YEAR,AFR,Africa,,,2006,,,,,,,1,1.0,,,,2024-07-12T16:01:16.317+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2885,2252756,WHS3_62,COUNTRY,ESP,YEAR,EUR,Europe,,,2010,,,,,,,302,302.0,,,,2024-07-12T16:01:16.317+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2886,2252763,WHS3_62,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,,2009,,,,,,,329,329.0,,,,2024-07-12T16:01:16.317+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
