,Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2031,4225985,WHS3_53,GLOBAL,GLOBAL,,YEAR,,,,2023,,,,,,,383 819,383819.0,,,,2024-07-12T15:49:00.303+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2032,4396794,WHS3_53,COUNTRY,SUR,AMR,YEAR,Americas,,,2013,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2033,4230782,WHS3_53,COUNTRY,BMU,AMR,YEAR,Americas,,,2017,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2034,4231380,WHS3_53,COUNTRY,RWA,AFR,YEAR,Africa,,,2020,,,,,,,696,696.0,,,,2024-07-12T15:49:00.303+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2035,4234473,WHS3_53,COUNTRY,DEU,EUR,YEAR,Europe,,,2018,,,,,,,534,534.0,,,,2024-07-12T15:49:00.303+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
2036,4236116,WHS3_53,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,2019,,,,,,,187,187.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2037,4408261,WHS3_53,COUNTRY,DNK,EUR,YEAR,Europe,,,2006,,,,,,,13,13.0,,,,2024-07-12T15:49:00.303+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2038,4241016,WHS3_53,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,2014,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2039,4409936,WHS3_53,COUNTRY,PAN,AMR,YEAR,Americas,,,2019,,,,,,,185,185.0,,,,2024-07-12T15:49:00.303+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2040,4260945,WHS3_53,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,,2000,,,,,,,732,732.0,,,,2024-07-12T15:49:00.303+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2041,4413829,WHS3_53,COUNTRY,TKL,WPR,YEAR,Western Pacific,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2042,4360330,WHS3_53,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,2008,,,,,,,778,778.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2043,4360451,WHS3_53,COUNTRY,SYC,AFR,YEAR,Africa,,,2009,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2044,4423950,WHS3_53,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2013,,,,,,,20 390,20390.0,,,,2024-07-12T15:49:00.303+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2045,4424547,WHS3_53,COUNTRY,BHS,AMR,YEAR,Americas,,,2008,,,,,,,0,0.0,,,,2024-07-12T15:49:00.303+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2046,4424674,WHS3_53,COUNTRY,JPN,WPR,YEAR,Western Pacific,,,2016,,,,,,,159 031,159031.0,,,,2024-07-12T15:49:00.303+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2047,4424921,WHS3_53,COUNTRY,MAC,,YEAR,,,,2021,,,,,,,48,48.0,,,,2024-07-12T15:49:00.303+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
2048,4426145,WHS3_53,COUNTRY,VEN,AMR,YEAR,Americas,,,2009,,,,,,,7509,7509.0,,,,2024-07-12T15:49:00.303+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
